Taille image;Nombre de points;Cycles scalaire;Cycles SIMD naif;Cycles SIMD opti;Cycles SIMD fusion;
341x341;116281;4550830;309388;111080;102634;
342x342;116964;4478884;310307;111124;109134;
343x343;117649;4629652;311204;111563;103556;
344x344;118336;4493632;312292;111827;103706;
345x345;119025;4963767;313182;112218;104028;
346x346;119716;4534103;313881;112570;104452;
347x347;120409;4594579;314982;112955;104634;
348x348;121104;4699981;315871;113228;104914;
349x349;121801;4602398;316780;113313;105350;
350x350;122500;4667804;317585;113810;105480;
351x351;123201;4776538;318568;113984;105600;
352x352;123904;4759387;319225;114413;106160;
353x353;124609;4880243;320171;114803;106397;
354x354;125316;4750493;321348;115152;106702;
355x355;126025;4783830;322210;115405;107146;
356x356;126736;4871301;323035;115466;107321;
357x357;127449;4827422;324008;116079;107561;
358x358;128164;4925448;324929;116368;108022;
359x359;128881;4938472;325836;116616;108189;
360x360;129600;4958352;326754;116956;108266;
361x361;130321;5046498;327640;117263;108940;
362x362;131044;4917318;328298;117666;109046;
363x363;131769;4873733;329439;117990;109364;
364x364;132496;5093824;330117;118072;109790;
365x365;133225;4947283;331260;118502;109952;
366x366;133956;5323841;384606;137676;110314;
367x367;134689;5010296;333038;119148;110739;
368x368;135424;5061181;333974;119594;110843;
369x369;136161;5326751;334864;119790;110952;
370x370;136900;5254904;335754;120079;111542;
371x371;137641;5401130;336683;120424;111722;
372x372;138384;5322553;337592;120243;111830;
373x373;139129;5325736;338006;121100;112228;
374x374;139876;6043598;339161;121334;112384;
375x375;140625;5371407;340288;121700;112908;
376x376;141376;5236380;341205;121926;113336;
377x377;142129;5509018;342110;122240;113430;
378x378;142884;5438751;343022;122173;113778;
379x379;143641;5478030;343915;122878;114218;
380x380;144400;5436752;344958;123226;114366;
381x381;145161;5954045;345738;123085;114658;
382x382;145924;5596580;346622;123400;115124;
383x383;146689;5612922;347540;124166;115276;
384x384;147456;5562398;348422;124536;115576;
385x385;148225;5797530;488946;163994;188757;
386x386;148996;5629260;483413;164427;189146;
387x387;149769;5756791;483765;164939;219360;
388x388;150544;5907293;478311;191072;220184;
389x389;151321;5839642;479378;165634;190457;
390x390;152100;5937093;487558;166066;190927;
391x391;152881;5838404;481848;166470;222306;
392x392;153664;5829901;503672;166919;192082;
393x393;154449;5931904;499187;167280;192421;
394x394;155236;5792066;492524;193304;223613;
395x395;156025;5902089;494229;168165;193551;
396x396;156816;5836392;488034;168509;193853;
397x397;157609;5942990;503942;265498;305695;
398x398;158404;5899044;505188;169399;194910;
399x399;159201;5921660;484422;169794;195328;
400x400;160000;6161520;611894;285937;196054;
401x401;160801;6013826;493908;170833;196278;
402x402;161604;6061725;503414;171144;196942;
403x403;162409;6052314;511779;198553;228606;
404x404;163216;6168453;513021;171876;197757;
405x405;164025;6078560;514262;172349;198547;
406x406;164836;6852517;846849;172741;198978;
407x407;165649;6235070;523309;173112;230828;
408x408;166464;6227114;502772;173620;199771;
409x409;167281;6327370;524843;174040;200370;
410x410;168100;6228176;521081;201994;200998;
411x411;168921;6561618;514666;174776;336193;
412x412;169744;6419690;523186;203062;233514;
413x413;170569;6437486;524443;175734;202034;
414x414;171396;6467360;518389;176070;202666;
415x415;172225;6523117;601660;176534;203108;
416x416;173056;6552327;520626;204854;235548;
417x417;173889;6594060;513842;177382;203826;
418x418;174724;6671692;515525;177815;204830;
419x419;175561;6627281;532050;178202;204860;
420x420;176400;6702538;617466;206842;205528;
421x421;177241;6675312;519708;186223;205928;
422x422;178084;6942447;629678;179498;206443;
423x423;178929;7412985;621908;179920;207195;
424x424;179776;6904367;573454;208797;267501;
425x425;180625;6786460;539642;209268;240641;
426x426;181476;7003389;532446;181248;241580;
427x427;182329;6753576;526168;181603;209258;
428x428;183184;6914838;543456;181923;209631;
429x429;184041;7118875;528590;182456;210021;
430x430;184900;7090648;529786;182772;210608;
431x431;185761;7048522;531020;183169;210971;
432x432;186624;7098008;524623;183596;211243;
433x433;187489;7240270;525602;183900;212128;
434x434;188356;7427257;542616;184554;212362;
435x435;189225;7395887;621348;184956;212718;
436x436;190096;7212856;631786;185340;213570;
437x437;190969;7151551;644806;215196;214056;
438x438;191844;7551408;625674;185856;214404;
439x439;192721;7329783;540516;186468;215065;
440x440;193600;7383622;550548;186618;215272;
441x441;194481;7391472;551800;187356;215812;
442x442;195364;7541783;560908;187668;216536;
443x443;196249;7451996;553254;188311;216816;
444x444;197136;7334396;562624;218434;251588;
445x445;198025;7584964;557052;188906;217996;
446x446;198916;7754401;542092;189424;218150;
447x447;199809;7743226;567446;189829;218706;
448x448;200704;7449325;543714;190315;219432;
449x449;201601;7509808;537553;186753;215440;
450x450;202500;8045379;551926;187185;215988;
451x451;203401;7813170;561640;187663;216580;
452x452;204304;7634912;546068;187986;216888;
453x453;205209;7570802;555286;188325;217298;
454x454;206116;7777086;557335;188816;218152;
455x455;207025;7699532;549498;189307;218268;
456x456;207936;7745876;550692;189667;218886;
457x457;208849;7810900;559934;190053;219468;
458x458;209764;8892705;562557;190414;219647;
459x459;210681;8648395;562955;190814;220176;
460x460;211600;8181139;564136;191376;221019;
461x461;212521;8123990;565345;191891;221408;
462x462;213444;8268170;564646;192152;221582;
463x463;214369;8366354;568333;192505;222246;
464x464;215296;8201369;560778;192924;222648;
465x465;216225;8230602;578956;193372;223146;
466x466;217156;8443068;580226;193852;223808;
467x467;218089;8623811;572148;193980;223996;
468x468;219024;8402228;654318;225070;224558;
469x469;219961;8265384;571160;194784;225168;
470x470;220900;8835140;584670;195364;225312;
471x471;221841;8501275;586176;195796;225698;
472x472;222784;8507416;569714;196278;226414;
473x473;223729;8737018;588727;196554;226873;
474x474;224676;8548212;581562;197002;227334;
475x475;225625;8771408;589728;197523;228144;
476x476;226576;8537490;592676;197839;228542;
477x477;227529;8691419;596334;198408;229020;
478x478;228484;8808932;586994;198712;229626;
479x479;229441;8704719;596676;199022;229816;
480x480;230400;8772988;597916;199430;230174;
481x481;231361;8934866;592677;199866;230792;
482x482;232324;8922139;591650;200418;231674;
483x483;233289;9004229;583500;200791;231868;
484x484;234256;8917171;584208;201202;232480;
485x485;235225;8925520;595014;201410;232735;
486x486;236196;8877156;587111;201864;233140;
487x487;237169;9181163;595223;202282;233706;
488x488;238144;8946892;598913;202741;233956;
489x489;239121;9101470;600408;203058;234556;
490x490;240100;9060001;591907;203528;235254;
491x491;241081;9274016;592835;203900;235587;
492x492;242064;9175535;612844;204396;238979;
493x493;243049;9262720;604794;204828;236652;
494x494;244036;9261620;606298;208555;237005;
495x495;245025;9381062;607782;205506;237350;
496x496;246016;9164969;617814;206061;238164;
497x497;247009;9080614;618767;206376;238206;
498x498;248004;9227792;610410;206807;238948;
499x499;249001;9603406;611298;207328;239568;
500x500;250000;9481164;620647;207614;240084;
501x501;251001;9563576;595738;208035;240166;
502x502;252004;9672506;625043;208346;240849;
503x503;253009;9644885;646712;208808;241166;
504x504;254016;9551930;600016;209222;241683;
505x505;255025;9758764;618696;209768;242261;
506x506;256036;9656374;619666;210164;242739;
507x507;257049;9617990;612159;210427;243216;
508x508;258064;9788450;632326;210664;243832;
509x509;259081;9806668;605716;211222;244034;
510x510;260100;9781896;615831;211614;244434;
511x511;261121;10272740;617025;211744;245334;
512x512;262144;9690973;628738;212724;245598;
513x513;263169;9793594;748715;264714;342430;
514x514;264196;9907414;750075;266168;343520;
515x515;265225;10011950;751242;266490;343826;
516x516;266256;10092927;752994;266564;344582;
517x517;267289;10015896;754630;267151;348184;
518x518;268324;9972127;755578;267308;345558;
519x519;269361;10004350;757281;268368;346408;
520x520;270400;10262401;758714;268568;346782;
521x521;271441;10152170;760178;269178;347102;
522x522;272484;10248236;761933;269638;348651;
523x523;273529;10198769;765816;659346;349470;
524x524;274576;10215666;764495;270100;349254;
525x525;275625;10236672;765998;270628;350357;
526x526;276676;10386402;767406;271070;351084;
527x527;277729;10460828;768858;271554;351242;
528x528;278784;11390667;773133;272178;352309;
529x529;279841;10877966;783200;272906;352936;
530x530;280900;10821550;773444;273142;353450;
531x531;281961;10462928;774724;273915;354078;
532x532;283024;11572820;785904;317704;410824;
533x533;284089;13261414;936904;317989;355056;
534x534;285156;13424344;851487;318906;356962;
535x535;286225;10507853;780917;276300;356975;
536x536;287296;10665439;784794;276878;357344;
537x537;288369;10818623;783598;277212;358244;
538x538;289444;10587448;785262;277470;359060;
539x539;290521;10767862;786378;278070;359538;
540x540;291600;10923000;787796;278534;360804;
541x541;292681;10764976;788408;279058;361164;
542x542;293764;10745506;790724;279614;361701;
543x543;294849;10985564;791269;279775;362304;
544x544;295936;11283306;793654;280486;362705;
545x545;297025;10909070;795438;281200;363304;
546x546;298116;10902990;796560;281487;364118;
547x547;299209;11084458;798386;282004;364686;
548x548;300304;10942578;799460;282468;365038;
549x549;301401;11036898;801274;282868;366540;
550x550;302500;11231656;805850;283310;366916;
551x551;303601;11364078;803878;283796;367238;
552x552;304704;11094670;805734;284283;368486;
553x553;305809;11194052;807250;285482;369095;
554x554;306916;11522379;808372;286074;428016;
555x555;308025;11288736;809752;286488;370850;
556x556;309136;11665938;811114;286658;370892;
557x557;310249;11323589;812575;287278;371400;
558x558;311364;11351490;814024;287650;372268;
559x559;312481;11617949;815482;287818;372706;
560x560;313600;11677010;825473;289030;373353;
561x561;314721;12009124;818766;289594;374304;
562x562;315844;11841406;819856;289502;375154;
563x563;316969;12002157;821344;290118;375206;
564x564;318096;12339593;822477;290882;376602;
565x565;319225;11796452;823812;291113;377229;
566x566;320356;12141888;825390;291711;377368;
567x567;321489;12000896;826861;292186;378262;
568x568;322624;11829668;828635;292972;378753;
569x569;323761;11834080;838990;293267;379280;
570x570;324900;11860406;831893;293683;380763;
571x571;326041;12158136;832814;294282;380896;
572x572;327184;12083760;834219;295204;381615;
573x573;328329;12330628;835714;295606;382502;
574x574;329476;12497235;837370;296076;382977;
575x575;330625;12400580;838846;296638;383470;
576x576;331776;12141994;840626;296993;384602;
577x577;332929;12795422;828154;292391;380050;
578x578;334084;12451360;829751;292504;380121;
579x579;335241;12404704;830948;293112;381080;
580x580;336400;12717455;832509;293652;381659;
